t,dt,f,v_true
9.54,0.02,-0.1175906,19.96317
9.559999,0.02,-2.133541,19.85316
9.58,0.02,7.00165,19.70286
9.599999,0.02,-0.4093927,19.73527
9.62,0.02,8.22808,19.61944
9.639999,0.02,8.432531,19.67637
9.66,0.02,5.320013,19.73741
9.679999,0.02,2.735672,19.73616
9.7,0.02,4.27497,19.68323
9.719999,0.02,-1.807642,19.6611
9.74,0.02,9.348095,19.51731
9.76,0.02,3.104925,19.59663
9.78,0.02,-0.7107803,19.55111
9.8,0.02,2.749774,19.42925
9.82,0.02,11.57746,19.3766
9.84,0.02,5.028767,19.50052
9.86,0.02,8.559739,19.49346
9.88,0.02,8.259335,19.55702
9.9,0.02,9.949906,19.61458
9.92,0.02,4.85229,19.70595
9.94,0.02,8.540276,19.69535
9.96,0.02,7.291214,19.75853
9.98,0.02,8.079086,19.79672
10,0.02,4.440748,19.85065
10.02,0.02,4.316299,19.83184
10.04,0.02,-0.679338,19.81054
10.06,0.02,4.700152,19.68932
10.08,0.02,8.72451,19.67568
10.1,0.02,-1.464363,19.74254
10.12,0.02,10.95455,19.60562
10.14,0.02,-1.359918,19.71706
10.16,0.02,11.00234,19.58222
10.18,0.02,-0.5003892,19.69465
10.2,0.02,-2.460636,19.57699
10.22,0.02,-2.388726,19.42014
10.24,0.02,11.08438,19.26474
10.26,0.02,-1.569853,19.37881
10.28,0.02,-0.3332458,19.23976
10.3,0.02,9.707931,19.12546
10.32,0.02,-2.479189,19.21199
10.34,0.02,6.247803,19.05478
10.36,0.02,-0.8652253,19.07212
10.38,0.02,2.116259,18.94719
10.4,0.02,-0.9182523,18.88186
10.42,0.02,-1.824942,18.75584
10.44,0.02,5.898802,18.61171
10.46,0.02,12.437,18.62207
10.48,0.02,-2.496216,18.76316
10.5,0.02,3.727341,18.60561
10.52,0.02,-2.600023,18.5725
10.54,0.02,6.004795,18.41288
10.56,0.02,12.99244,18.42533
10.58,0.02,6.602691,18.57757
10.6,0.02,8.198326,18.60198
10.62,0.02,6.517728,18.65832
10.64,0.02,7.309136,18.68104
10.66,0.02,12.37974,18.71959
10.68,0.02,2.91877,18.85954
10.7,0.02,-2.64488,18.81029
10.72,0.02,9.941067,18.64975
10.74,0.02,5.37748,18.74092
10.76,0.02,8.904677,18.74084
10.78,0.02,-1.669481,18.8113
10.8,0.02,7.105191,18.67028
10.82,0.02,2.063875,18.70474
10.84,0.02,6.976732,18.6384
10.86,0.02,5.224374,18.67031
10.88,0.02,10.16613,18.66715
10.9,0.02,-2.622896,18.76283
10.92,0.02,-1.233003,18.60273
10.94,0.02,0.01056908,18.47045
10.96,0.02,4.251711,18.36301
10.98,0.02,-1.575882,18.3404
11,0.02,5.840302,18.20126
11.02,0.02,3.696488,18.21043
11.04,0.02,-2.741325,18.17675
11.06,0.02,2.94216,18.01427
11.08,0.02,7.26078,17.96549
11.1,0.02,10.33784,18.00307
11.12,0.02,-0.02283282,18.10218
11.14,0.02,11.24754,17.99411
11.16,0.02,6.832481,18.11141
11.18,0.02,-0.3747739,18.14043
11.2,0.02,-2.993024,18.0253
11.22,0.02,8.712116,17.8578
11.24,0.02,9.658185,17.9244
11.26,0.02,7.596767,18.00995
11.28,0.02,-2.521647,18.05424
11.3,0.02,-0.3695295,17.89617
11.32,0.02,7.050787,17.78114
11.34,0.02,9.957126,17.81453
11.36,0.02,11.27424,17.90604
11.38,0.02,4.588718,18.02388
11.4,0.02,12.24775,18.00803
11.42,0.02,-2.163642,18.14536
11.44,0.02,8.832989,17.99445
11.46,0.02,12.76518,18.06347
11.48,0.02,6.312991,18.21115
11.5,0.02,6.915946,18.22977
11.52,0.02,6.212023,18.26044
11.54,0.02,7.307407,18.27704
11.56,0.02,11.57509,18.31556
11.58,0.02,1.557252,18.43944
11.6,0.02,-0.314848,18.36295
11.62,0.02,-1.479872,18.249
11.64,0.02,-1.63537,18.11178
11.66,0.02,6.629025,17.97142
11.68,0.02,11.13168,17.99638
11.7,0.02,11.82625,18.11139
11.72,0.02,7.022345,18.24028
11.74,0.02,5.922033,18.27309
11.76,0.02,2.353412,18.28388
11.78,0.02,12.37575,18.22333
11.8,0.02,7.697286,18.3632
11.82,0.02,7.155991,18.40951
11.84,0.02,6.308195,18.44501
11.86,0.02,9.890964,18.46355
11.88,0.02,1.310946,18.55371
11.9,0.02,0.6776112,18.4723
11.92,0.02,11.20675,18.37821
11.94,0.02,5.899685,18.49471
11.96,0.02,2.940401,18.50508
11.98,0.02,7.283836,18.45627
12,0.02,4.264473,18.49429
12.02,0.02,2.236764,18.47194
12.04,0.02,3.85102,18.40906
12.06,0.02,-1.671252,18.37844
12.08,0.02,10.60011,18.23737
12.1,0.02,2.823562,18.34173
12.12,0.02,0.8286361,18.29056
12.14,0.02,3.491086,18.19951
12.16,0.02,5.577737,18.16169
12.18,0.02,10.75888,18.16561
12.2,0.02,8.555695,18.27315
12.22,0.02,-0.7651259,18.33663
12.24,0.02,1.223218,18.21371
12.26,0.02,-0.6806183,18.13052
12.28,0.02,-0.4163053,18.00929
12.3,0.02,10.89425,17.89331
12.32,0.02,11.89136,18.00358
12.34,0.02,1.791101,18.13376
12.36,0.02,7.28486,18.06196
12.38,0.02,-1.000573,18.10003
12.4,0.02,6.520422,17.97236
12.42,0.02,-1.017599,17.99515
12.44,0.02,0.3111871,17.86715
12.46,0.02,5.850585,17.76574
12.48,0.02,-2.474254,17.77514
12.5,0.02,0.7182036,17.61802
12.52,0.02,10.34868,17.52475
12.54,0.02,8.196747,17.62409
12.56,0.02,5.43028,17.68039
12.58,0.02,0.770871,17.68135
12.6,0.02,12.36339,17.5891
12.62,0.02,11.68612,17.72874
12.64,0.02,-0.7335582,17.85484
12.66,0.02,2.476183,17.73254
12.68,0.02,2.601113,17.67446
12.7,0.02,6.498046,17.61883
12.72,0.02,2.650339,17.64117
12.74,0.02,13.61549,17.58652
12.76,0.02,7.929904,17.75118
12.78,0.02,9.319928,17.80216
12.8,0.02,-0.1863976,17.88093
12.82,0.02,-2.180021,17.76958
12.84,0.02,-2.356367,17.61833
12.86,0.02,0.929773,17.46357
12.88,0.02,13.70225,17.37452
12.9,0.02,3.904413,17.54094
12.92,0.02,-1.275441,17.51138
12.94,0.02,7.821141,17.37825
12.96,0.02,6.482275,17.42702
12.98,0.02,13.63306,17.44903
13,0.02,9.55547,17.61407
13.02,0.02,7.414444,17.69755
13.04,0.02,12.80143,17.73821
13.06,0.02,9.604818,17.8866
13.08,0.02,-2.842768,17.97106
13.1,0.02,11.54295,17.80658
13.12,0.02,0.9301254,17.9298
13.14,0.02,9.087252,17.84077
13.16,0.02,8.703733,17.91489
13.18,0.02,0.8629249,17.98132
13.2,0.02,-1.086681,17.89093
13.22,0.02,-0.4801225,17.76156
13.24,0.02,6.088025,17.64434
13.26,0.02,0.9778392,17.65844
13.28,0.02,10.20481,17.57035
13.3,0.02,3.559684,17.66684
13.32,0.02,11.11339,17.6304
13.34,0.02,1.355741,17.74502
13.36,0.02,8.233479,17.66451
13.38,0.02,3.02033,17.72155
13.4,0.02,6.760693,17.67432
13.42,0.02,1.730165,17.70189
13.44,0.02,-1.487241,17.62885
13.46,0.02,0.1657022,17.49151
13.48,0.02,5.779838,17.38715
13.5,0.02,13.38998,17.39513
13.52,0.02,11.61484,17.55529
13.54,0.02,10.53387,17.67995
13.56,0.02,-2.913495,17.783
13.58,0.02,8.833477,17.61711
13.6,0.02,4.779523,17.68613
13.62,0.02,-1.937524,17.67407
13.64,0.02,12.29734,17.5277
13.66,0.02,11.4198,17.666
13.68,0.02,7.392009,17.78677
13.7,0.02,13.08479,17.82699
13.72,0.02,3.814743,17.98103
13.74,0.02,9.595926,17.94971
13.76,0.02,7.416224,18.034
13.78,0.02,11.47604,18.07469
13.8,0.02,-1.199409,18.19655
13.82,0.02,-1.506105,18.06493
13.84,0.02,3.004316,17.9272
13.86,0.02,11.98267,17.87963
13.88,0.02,10.15543,18.01164
13.9,0.02,9.343533,18.10711
13.92,0.02,5.356292,18.18634
13.94,0.02,8.452835,18.18583
13.96,0.02,4.347326,18.24731
13.98,0.02,9.667909,18.2266
14,0.02,4.316267,18.3123
14.02,0.02,-1.783575,18.291
14.04,0.02,10.33773,18.14771
14.06,0.02,-2.141314,18.24681
14.08,0.02,6.479744,18.09636
14.1,0.02,3.019858,18.11834
14.12,0.02,2.137074,18.07107
14.14,0.02,8.918272,18.00618
14.16,0.02,12.25283,18.07692
14.18,0.02,12.27875,18.21434
14.2,0.02,12.94774,18.35229
14.22,0.02,6.574643,18.5036
14.24,0.02,3.788714,18.52743
14.26,0.02,0.5907022,18.49557
14.28,0.02,10.59423,18.39978
14.3,0.02,8.187366,18.50401
14.32,0.02,12.26334,18.56013
14.34,0.02,2.36779,18.69776
14.36,0.02,6.588226,18.63749
14.38,0.02,0.1321913,18.66162
14.4,0.02,5.73247,18.55658
14.42,0.02,12.40302,18.56361
14.44,0.02,-1.63252,18.70411
14.46,0.02,1.243753,18.56376
14.48,0.02,12.49135,18.48099
14.5,0.02,8.268334,18.62318
14.52,0.02,4.98963,18.68091
14.54,0.02,-2.010386,18.67311
14.56,0.02,5.177869,18.52528
14.58,0.02,8.035892,18.52117
14.6,0.02,0.4069526,18.57426
14.62,0.02,12.52842,18.4748
14.64,0.02,9.100636,18.61771
14.66,0.02,12.33285,18.69209
14.68,0.02,2.905322,18.83111
14.7,0.02,0.7422734,18.78159
14.72,0.02,6.972435,18.68877
14.74,0.02,6.715497,18.72057
14.76,0.02,2.482918,18.7473
14.78,0.02,11.93095,18.68932
14.8,0.02,10.6109,18.82027
14.82,0.02,1.667444,18.9249
14.84,0.02,-2.881529,18.85058
14.86,0.02,3.212594,18.6853
14.88,0.02,10.50325,18.64191
14.9,0.02,2.06412,18.74436
14.92,0.02,1.194322,18.67801
14.94,0.02,9.690562,18.59426
14.96,0.02,8.402893,18.68046
14.98,0.02,-2.661118,18.74086
15,0.02,8.754295,18.58001
15.02,0.02,-2.324841,18.64748
15.04,0.02,-1.989379,18.49331
15.06,0.02,3.368648,18.34591
15.08,0.02,9.322239,18.30561
15.1,0.02,10.8681,18.38444
15.12,0.02,3.473526,18.49418
15.14,0.02,2.678161,18.45604
15.16,0.02,10.82956,18.40195
15.18,0.02,0.08491395,18.51089
15.2,0.02,8.76428,18.40496
15.22,0.02,8.191672,18.47261
15.24,0.02,11.08924,18.5288
15.26,0.02,11.2883,18.64299
15.28,0.02,3.982158,18.76107
15.3,0.02,7.784033,18.73312
15.32,0.02,9.559845,18.78112
15.34,0.02,11.3774,18.8647
15.36,0.02,8.971528,18.98461
